CÓDIGO,Departamento,Jurisdicción,Cat.,Nro.,Nombre,T,CALLE,Nº,CALLE2,Nº2,CALLE3,Nº3,BARRIO / LOCALIDAD,TELEFONO,COMENTARIO,CH,CA,JA,EA,CTR,JTR,ETR,Unnamed: 23,Ed. Especial,0,Unnamed: 26,0.1,Unnamed: 28,Ed. Especial.1,0.2,Unnamed: 31,0.3,direccion_completa,Latitud,Longitud,EstrategiaLatLong,Intento
MONTEVIDEO - HABILITADO_111,MONTEVIDEO,ESTE,HABILITADO,111,QUEEN´S SCHOOL,D,LIBERTAD,2730,LUIS B. CAVIA,2779,Av. BRASIL,2916,POCITOS,2708 09 24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LIBERTAD 2730,-34.90910937294539,-56.155239805941044,,1.0
MONTEVIDEO - HABILITADO_117,MONTEVIDEO,ESTE,HABILITADO,117,DON BOSCO,M,Cno. MALDONADO,7777,,,,,PUNTA DE RIELES,2222 30 44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. MALDONADO 7777,-34.82513426030009,-56.101944968694426,,1.0
MONTEVIDEO - HABILITADO_120,MONTEVIDEO,OESTE,HABILITADO,120,EVANGELICO BETHESDA,M,Dr. CARLOS MARIA DE LA PENA,4164,,,,,PRADO,2309 34 22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. CARLOS MARIA DE LA PENA 4164,-34.855091792076635,-56.20507166112907,,1.0
MONTEVIDEO - HABILITADO_121,MONTEVIDEO,ESTE,HABILITADO,121,COOP. MALVIN NORTE -VICMAN-,D,Cno. CARRASCO,4490,,,,,MALVIN NORTE,2525 42 76,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. CARRASCO 4490,-34.87226313217924,-56.120735268895544,,1.0
MONTEVIDEO - HABILITADO_122,MONTEVIDEO,OESTE,HABILITADO,122,Instituto Educacional NERSESIAN,T,Av. AGRACIADA,2842,Av. AGRACIADA,2846,,,CAPURRO,2209 01 65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. AGRACIADA 2842,-34.8783092147997,-56.19628551574253,,1.0
MONTEVIDEO - HABILITADO_125,MONTEVIDEO,OESTE,HABILITADO,125,SAN JOSE DE LA PROVIDENCIA,T,CARLOS MARIA RAMIREZ,56,,,,,BELVEDERE,2308 33 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARLOS MARIA RAMIREZ 56,-34.8553739037056,-56.223078915882255,,1.0
MONTEVIDEO - HABILITADO_127,MONTEVIDEO,CENTRO,HABILITADO,127,Bautista DANIEL MC. MURRAY,T,Av. SAN MARTIN,4016,,,,,CERRITO,2216 28 65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. SAN MARTIN 4016,-34.85213929564981,-56.171215421537916,,1.0
MONTEVIDEO - HABILITADO_131,MONTEVIDEO,ESTE,HABILITADO,131,JEAN PIAGET,D,MASSINI,3134,Av. BRASIL,2586,BALTASAR VARGAS,1184,POCITOS,2708 92 99,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MASSINI 3134,-34.91051656468993,-56.197927329420445,,1.0
MONTEVIDEO - HABILITADO_132,MONTEVIDEO,CENTRO,HABILITADO,132,NUEVA CULTURA,C,Av. Dr. LUIS A. de HERRERA,2762 - 2762bis,Av. Dr. LUIS A. de HERRERA,2764 bis,Av. Dr. LUIS A. de HERRERA,2758,UNION,2487 30 89,Apto. 002 y 003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. LUIS A. de HERRERA 2762 - 2762bis,-34.851159374142924,-56.275071532972156,,1.0
MONTEVIDEO - HABILITADO_133,MONTEVIDEO,CENTRO,HABILITADO,133,JOSE BENITO LAMAS,D,IBIROCAHY,4091,,,,,AIRES PUROS,2208 21 59,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,IBIROCAHY 4091,-34.85182698733339,-56.18382335368554,,1.0
MONTEVIDEO - HABILITADO_134,MONTEVIDEO,OESTE,HABILITADO,134,JESUS ISASO,D,HAITI,1606,SANTIN C. ROSSI,4454,,,CERRO,2311 95 15,DIRECCIÓN 2 es Jardin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,HAITI 1606,-34.871767202261765,-56.248679399987296,,1.0
MONTEVIDEO - HABILITADO_135,MONTEVIDEO,ESTE,HABILITADO,135,MIGUEL DE CERVANTES,D,MAIPU,1751,,,,,PARQUE BATLLE,2480 23 50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MAIPU 1751,-34.89530308674663,-56.145323308891896,,1.0
MONTEVIDEO - HABILITADO_136,MONTEVIDEO,CENTRO,HABILITADO,136,AGUSTIN FERREIRO,D,RIVADAVIA,2085,,,,,LA COMERCIAL,2203 62 85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RIVADAVIA 2085,-34.881014690158636,-56.17351759476455,,1.0
MONTEVIDEO - HABILITADO_137,MONTEVIDEO,ESTE,HABILITADO,137,AMERICA,T,RIZAL ,3577,,,,,BUCEO,2622 28 55,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RIZAL  3577,-34.90103011664506,-56.13601294963757,,1.0
MONTEVIDEO - HABILITADO_138,MONTEVIDEO,CENTRO,HABILITADO,138,INGLES,D,FELICIANO RODRIGUEZ,2776,BRITO DEL PINO,1525,AMÉRICO RICALDONI,2838,PARQUE BATLLE,Dir.1: 2707 48 94    /    Dir.2: 2708 28 67    /    Dir.3: 2708 46 59    /    Dir.4: 2709 28 76 (*),DIRECCIÓN 4 (*): RAFAEL PASTORIZA 1469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FELICIANO RODRIGUEZ 2776,-34.9000898166422,-56.15480320301226,,1.0
MONTEVIDEO - HABILITADO_142,MONTEVIDEO,CENTRO,HABILITADO,142,INSTITUTO GESELLIANO (C.I.P.A.G.),D,FCO. VIDIELA,2372,,,,,LA BLANQUEADA,2400 94 24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FCO. VIDIELA 2372,-34.81077027739095,-56.20286909020739,,1.0
MONTEVIDEO - HABILITADO_143,MONTEVIDEO,ESTE,HABILITADO,143,INSTITUTO ARNOLD GESELL,M,RAFAEL PEREZ,1961,,,,,BUCEO,2506 70 63,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RAFAEL PEREZ 1961,-34.88533078245479,-56.130845867975935,,1.0
MONTEVIDEO - HABILITADO_144,MONTEVIDEO,ESTE,HABILITADO,144,SAGRADO CORAZON DE JESUS,D,CAPITAN VILLADEMOROS,2593,,,,,MAROÑAS,2506 63 44 / 2508 33 61,TELÉFONO 2 es INICIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CAPITAN VILLADEMOROS 2593,-34.86515445115662,-56.130351139252745,,1.0
MONTEVIDEO - HABILITADO_146,MONTEVIDEO,ESTE,HABILITADO,146,FEDERICO GARCIA LORCA,C,ENRIQUE ESTRAZULAS,1481,PILCOMAYO,5088,,,MALVIN,2613 32 09 / 2613 58 29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ENRIQUE ESTRAZULAS 1481,-34.894186655827546,-56.098258781587006,,1.0
MONTEVIDEO - HABILITADO_147,MONTEVIDEO,ESTE,HABILITADO,147,COLEGIO DEL SUR,D,VERDI,4431,COLOMBES, 1338 / 1340,,,BUCEO,2619 11 60 / 2613 51 49(*),DIRECCIÓN 1 es además JARDÍN DEL SUR (*),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,VERDI 4431,-34.89463853102418,-56.1169798624963,,1.0
MONTEVIDEO - HABILITADO_148,MONTEVIDEO,OESTE,HABILITADO,148,CEN. ED. ADVENTISTA (C.E.A.),D,SANTA LUCIA,4420,,,,,BELVEDERE,2307 29 07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SANTA LUCIA 4420,-34.85203437004334,-56.2252351529082,,1.0
MONTEVIDEO - HABILITADO_152,MONTEVIDEO,CENTRO,HABILITADO,152,LA MERCED,T,Dr. JUAN JOSE DE AMEZAGA,2018,,,,,VILLA MUÑOZ,2203 48 65,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Dr. JUAN JOSE DE AMEZAGA 2018,-34.885242373253874,-56.17454210474291,,1.0
MONTEVIDEO - HABILITADO_154,MONTEVIDEO,ESTE,HABILITADO,154,PUNTA CARRETAS LTDA.,D,GARCIA CORTINAS,2432,,,,,PUNTA CARRETAS,2711 97 31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GARCIA CORTINAS 2432,-34.9247192504221,-56.159332267998046,,1.0
MONTEVIDEO - HABILITADO_155,MONTEVIDEO,OESTE,HABILITADO,155,EMILIO C. TACCONI,D,Cno. EDISON,4808,,,,,PEÑAROL,2358 29 52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. EDISON 4808,-34.825883131533026,-56.20930114145272,,1.0
MONTEVIDEO - HABILITADO_157,MONTEVIDEO,CENTRO,HABILITADO,157,ESCUELA DEL PARQUE,D,Av. Dr. FRANCISCO SOCA,1386,,,,,PARQUE BATLLE,2707 94 54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. FRANCISCO SOCA 1386,-34.904061156160864,-56.15553745577534,,1.0
MONTEVIDEO - HABILITADO_159,MONTEVIDEO,OESTE,HABILITADO,159,ERIK ERIKSON,T,Av. MILLAN,3058,Av. MILLAN,3131 (*),Av. MILLAN,3133,PRADO,2201 08 81 / 2203 27 35(*),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 3058,-34.870317484688144,-56.19080040514723,,1.0
MONTEVIDEO - HABILITADO_160,MONTEVIDEO,OESTE,HABILITADO,160,CHRISTIAN ANDERSEN,D,Av. MILLAN,4392,,,,,PRADO,2355 09 28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 4392,-34.844066459321056,-56.2053637397953,,1.0
MONTEVIDEO - HABILITADO_163,MONTEVIDEO,ESTE,HABILITADO,163,URUGUAYAN AMERICAN SCHOOL,D,Av. Dra. SALDUN DE RODRÍGUEZ,2375,,,,,CARRASCO,2600 76 81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dra. SALDUN DE RODRÍGUEZ 2375,-34.873881342774055,-56.07722790778968,,1.0
MONTEVIDEO - HABILITADO_164,MONTEVIDEO,ESTE,HABILITADO,164,HORACIO QUIROGA,T,Av. ESTANISLAO LOPEZ,4806,HIPOLITO IRIGOYEN,1642,,,BUCEO,2619 11 59,DIRECCIÓN 2 es además JARDÍN COLORES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ESTANISLAO LOPEZ 4806,-34.88830968828864,-56.105128798635995,,1.0
MONTEVIDEO - HABILITADO_167,MONTEVIDEO,CENTRO,HABILITADO,167,ESCUELA WARA,M,DURAZNO ,1480,,,,,BARRIO SUR,2410 95 75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DURAZNO  1480,-34.9101137785715,-56.1833877927982,,1.0
MONTEVIDEO - HABILITADO_169,MONTEVIDEO,CENTRO,HABILITADO,169,FORWARD,T,JOAQUIN REQUENA,1627,,,,,CORDON,2402 37 82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOAQUIN REQUENA 1627,-34.89899108439309,-56.17022209291605,,1.0
MONTEVIDEO - HABILITADO_170,MONTEVIDEO,OESTE,HABILITADO,170,SONRISITAS,T,POLONIA ,3953,,,,,CERRO,094 015 722,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,POLONIA  3953,-34.88117311807403,-56.25667786898012,,1.0
MONTEVIDEO - HABILITADO_171,MONTEVIDEO,ESTE,HABILITADO,171,THE ANGLO SCHOOL,D,Av. Dra. SALDUN DE RODRÍGUEZ,2195,,,,,CARRASCO NORTE,2600 64 52  Int. 102,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dra. SALDUN DE RODRÍGUEZ 2195,-34.877725820324635,-56.079514349768324,,1.0
MONTEVIDEO - HABILITADO_172,MONTEVIDEO,OESTE,HABILITADO,172,DE LOS MOLINOS,D,MOLINOS DE RAFFO,796,AV. MILLÁN,4532,MOLINOS DE RAFFO,780,SAYAGO,2307 87 67 / 2359 39 41,DIRECCIÓN 3 es el Jardín (2308 15 36),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MOLINOS DE RAFFO 796,-34.842949395436605,-56.209572063469494,,1.0
MONTEVIDEO - HABILITADO_175,MONTEVIDEO,OESTE,HABILITADO,175, BET-EL,D,Cno. CASTRO,307,,,,,PRADO,2307 81 87,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. CASTRO 307,-34.8547434403282,-56.21055175336505,,1.0
MONTEVIDEO - HABILITADO_178,MONTEVIDEO,OESTE,HABILITADO,178,OLGA CARROZELLI,D ,Av. LEZICA,6204,,,,,LEZICA,2323 47 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. LEZICA 6204,-34.79987579703703,-56.243761518002096,,1.0
MONTEVIDEO - HABILITADO_179,MONTEVIDEO,CENTRO,HABILITADO,179,SAINT BRENDAN'S SCHOOL, D,Av. Gral. RIVERA,2314,JOAQUÍN NUÑEZ,2774 / 2778(*),JOAQUÍN NUÑEZ,2784(*),CORDON / POCITOS(*),2409 49 39 / 2710 06 03(*),DIRECCIÓN 4: Bv. ARTIGAS 444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Gral. RIVERA 2314,-34.90208948955509,-56.165032197633096,,1.0
MONTEVIDEO - HABILITADO_180,MONTEVIDEO,OESTE,HABILITADO,180,ATAHUALPA,D ,CARMELO ,1415,,,,,PRADO,2336 44 54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARMELO  1415,-34.86254450133377,-56.191281112225276,,1.0
MONTEVIDEO - HABILITADO_181,MONTEVIDEO,ESTE,HABILITADO,181,GUSTAVO ADOLFO BECQUER,D ,Av. Gral. RIVERA,4606,,,,,MALVIN,2619 30 58,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Gral. RIVERA 4606,-34.891616861318674,-56.11186859234771,,1.0
MONTEVIDEO - HABILITADO_182,MONTEVIDEO,ESTE,HABILITADO,182,REINA REYES,D,CAPITAN LACOSTA,4138,,,,,,2227 20 21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CAPITAN LACOSTA 4138,-34.811199386309646,-56.139020032171494,,1.0
MONTEVIDEO - HABILITADO_185,MONTEVIDEO,ESTE,HABILITADO,185,COLEGIO Y LICEO FRANCES,D,BENIGNO PAIVA,1160,,,,,BUCEO,2628 55 44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BENIGNO PAIVA 1160,-34.90387717859668,-56.12937380851705,,1.0
MONTEVIDEO - HABILITADO_188,MONTEVIDEO,CENTRO,HABILITADO,188,PAULO FREIRE,D,Av. ITALIA,3022,JUAN SPIKERMAN ,2068(*),,,LA BLANQUEADA,2480 08 99 / 2481 09 37(*),DIRECCIÓN 2 es el Jardín(*),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. ITALIA 3022,-34.88957920212812,-56.14889559500602,,1.0
MONTEVIDEO - HABILITADO_189,MONTEVIDEO,ESTE,HABILITADO,189,WOODLANDS SCHOOL,D,SAN CARLOS DE BOLIVAR,S/N,,,,,CARRASCO,2601 46 02 / 2601 88 29,Otros teléfonos: 2601 88 99 / 2604 27 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAN CARLOS DE BOLIVAR S/N,-34.88884011869138,-56.07680950814521,,1.0
MONTEVIDEO - HABILITADO_190,MONTEVIDEO,CENTRO,HABILITADO,190,THE ANGLO SCHOOL,D,SAN JOSE,1426,JAVIER BARRIOS AMORÍN,1275,,,CORDON,2902 37 73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,SAN JOSE 1426,-34.90647017356622,-56.18490550360649,,1.0
MONTEVIDEO - HABILITADO_193,MONTEVIDEO,OESTE,HABILITADO,193,VAN GOGH,D,CARLOS MARIA RAMIREZ,140,BELVEDERE,4376(*),,,BELVEDERE,2307 82 54 / 2308 65 93(*),DIRECCIÓN 2 es además JARDÍN PILLÍN(*),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CARLOS MARIA RAMIREZ 140,-34.85614474494641,-56.224016819122056,,1.0
MONTEVIDEO - HABILITADO_195,MONTEVIDEO,ESTE,HABILITADO,195,ALEMAN,D,Av. Dr. FRANCISCO SOCA,1356,GABRIEL PEREIRA,2815 / 2827,,,POCITOS,2708 43 81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. Dr. FRANCISCO SOCA 1356,-34.904776569424556,-56.155236898128074,,1.0
MONTEVIDEO - HABILITADO_197,MONTEVIDEO,ESTE,HABILITADO,197,SCUOLA ITALIANA,T,Gral. FRENCH,2180,,,,,CARRASCO,2600 15 27  Int. 119,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Gral. FRENCH 2180,-34.871633807265326,-56.04801986680432,,1.0
MONTEVIDEO - HABILITADO_199,MONTEVIDEO,OESTE,HABILITADO,199,COLEGIO ED. GANDHI,D,JOAQUÍN SUAREZ,2868,,,,,BELLA VISTA,2200 31 19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JOAQUÍN SUAREZ 2868,-34.87738625576669,-56.19652548619067,,1.0
MONTEVIDEO - HABILITADO_200,MONTEVIDEO,CENTRO,HABILITADO,200,LIFE SCHOOL,D,CANELONES,1069,,,,,CENTRO,2900 71 78,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CANELONES 1069,-34.908772217258154,-56.192758644234175,,1.0
MONTEVIDEO - HABILITADO_201,MONTEVIDEO,ESTE,HABILITADO,201,EDU SCHOOL,D,FCO. SOLANO ANTUÑA,2618,,,,,PUNTA CARRETAS,2710 25 72,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FCO. SOLANO ANTUÑA 2618,-34.916588559194906,-56.15710028662679,,1.0
MONTEVIDEO - HABILITADO_202,MONTEVIDEO,CENTRO,HABILITADO,202,GIRATIERRA,D,DAMASO ANTONIO LARRAÑAGA,3246,,,,,PARQUE BATLLE,2481 89 92,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,DAMASO ANTONIO LARRAÑAGA 3246,-34.87932942656229,-56.15209179875769,,1.0
MONTEVIDEO - HABILITADO_203,MONTEVIDEO,ESTE,HABILITADO,203,STELLA MARIS,D,MAXIMO TAJES,7359,HERMANO PATRICK KELLY,2269,VICTOR SUDRIERS,7346,CARRASCO,2600 07 02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,MAXIMO TAJES 7359,-34.87480373429009,-56.045710048456435,,1.0
MONTEVIDEO - HABILITADO_205,MONTEVIDEO,OESTE,HABILITADO,205,JUAN MANUEL BLANES,D,Av. MILLAN,4024,LUIS A. de HERRERA,4611(*),,,PRADO,2336 18 38 / 2337 52 72(*),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. MILLAN 4024,-34.85280237093001,-56.197191289690174,,1.0
MONTEVIDEO - HABILITADO_206,MONTEVIDEO,ESTE,HABILITADO,206,SOL DE JULIO,D,ABIPONES,5827,,,,,BELLA  ITALIA,2514 07 90,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,ABIPONES 5827,-34.837576332871365,-56.12325802716986,,1.0
MONTEVIDEO - HABILITADO_207,MONTEVIDEO,OESTE,HABILITADO,207,JUANA DE AMERICA,D,GRITO DE ASENCIO,1136,,,,,BELLA VISTA,2208 48 50,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GRITO DE ASENCIO 1136,-34.875161871664154,-56.19770093686182,,1.0
MONTEVIDEO - HABILITADO_208,MONTEVIDEO,CENTRO,HABILITADO,208,PABLO ANDION,D,LOCARNO,3629,,,,,J. DEL HIPODROMO,2511 77 86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,LOCARNO 3629,-34.83595491153367,-56.13485465388859,,1.0
MONTEVIDEO - HABILITADO_209,MONTEVIDEO,OESTE,HABILITADO,209,PRADO SCHOOL,D,19 DE ABRIL,1106,,,,,PRADO,2336 74 88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,19 DE ABRIL 1106,-34.86278321320658,-56.20107902361334,,1.0
MONTEVIDEO - HABILITADO_210,MONTEVIDEO,CENTRO,HABILITADO,210,URUGUAY PIRI,D,VILARDEBO,1209,GRAL. FRAGA ,2195,,,REDUCTO,2203 43 39,DIRECCIÓN1 es además JARDÍN CAPERUCITA ROJA(*),0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,VILARDEBO 1209,-34.877609973128344,-56.192917462693266,,1.0
MONTEVIDEO - HABILITADO_211,MONTEVIDEO,CENTRO,HABILITADO,211,INTEGRAL EDUC-ARTE,T,Av. JOSE BELLONI,6210,,,,,MANGA,2227 51 21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. JOSE BELLONI 6210,-34.7857065427708,-56.13571066186858,,1.0
MONTEVIDEO - HABILITADO_212,MONTEVIDEO,ESTE,HABILITADO,212,EL CANTARO FRESCO,T,GRATHIBAUT,1773,,,,,BUCEO,2481 58 51,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,GRATHIBAUT 1773,-34.89236991409136,-56.133384276005934,,1.0
MONTEVIDEO - HABILITADO_213,MONTEVIDEO,CENTRO,HABILITADO,213,NUEVA GENERACIÓN,D,AV. J. BELLONI,3231,,,,,MAROÑAS,2513 91 08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. J. BELLONI 3231,-34.84794325974194,-56.13410791353473,,1.0
MONTEVIDEO - HABILITADO_214,MONTEVIDEO,ESTE,HABILITADO,214,MAHANAIM,D,AV. ITALIA,4188,,,,,MALVIN,2614 29 01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. ITALIA 4188,-34.887421573058845,-56.117027096273844,,1.0
MONTEVIDEO - HABILITADO_215,MONTEVIDEO,ESTE,HABILITADO,215,IMAGINATE,D,JUAN BAUTISTA ALBERDI,5890,,,,,CARRASCO,2600 27 91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,JUAN BAUTISTA ALBERDI 5890,-34.88528282287574,-56.08083023626704,,1.0
MONTEVIDEO - HABILITADO_217,MONTEVIDEO,CENTRO,HABILITADO,217,ACJ - ASOC. CRISTIANA DE JOVENES,,EDUARDO ACEVEDO,1629,COLONIA,1870(*),,,CORDÓN,2402 38 30 / 2400 11 16(*),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,EDUARDO ACEVEDO 1629,-34.89992586551353,-56.17759290435617,,1.0
MONTEVIDEO - HABILITADO_218,MONTEVIDEO,ESTE,HABILITADO,218,MONTEVIDEO COLLEGE,D,26 DE MARZO,1130,,,,,POCITOS,2707 48 82,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,26 DE MARZO 1130,-34.910451504750135,-56.15011935414156,,1.0
MONTEVIDEO - HABILITADO_219,MONTEVIDEO,OESTE,HABILITADO,219,INSTITUTO DE LOS JOVENES (IDEJO),D,AV. 19 DE ABRIL,3333,,,,,PRADO,2309 35 53,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. 19 DE ABRIL 3333,-34.86839167529855,-56.20460626469605,,1.0
MONTEVIDEO - HABILITADO_220,MONTEVIDEO,CENTRO,HABILITADO,220,NUEVA ESPERANZA,D,IRURETA GOYENA,3359,,,,,VILLA ESPAÑOLA,2506 96 01 ,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,IRURETA GOYENA 3359,-34.85976868485223,-56.14814602472858,,1.0
MONTEVIDEO - HABILITADO_221,MONTEVIDEO,CENTRO,HABILITADO,221,JOSE E. RODO,D,Cno. MALDONADO,5474,,,,,FLOR DE MAROÑAS,2513 60 52,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Cno. MALDONADO 5474,-34.84646635524423,-56.12586933812382,,1.0
MONTEVIDEO - HABILITADO_222,MONTEVIDEO,ESTE,HABILITADO,222,ALFA Y OMEGA,D,Av. JOSE BELLONI,5894,,,,,PIEDRAS BLANCAS,2227 93 03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,Av. JOSE BELLONI 5894,-34.79264000445236,-56.13592884782548,,1.0
MONTEVIDEO - HABILITADO_223,MONTEVIDEO,ESTE,HABILITADO,223,RAYUELA,D,AV. ITALIA,3185,,,,,LA BLANQUEADA,2487 13 11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,AV. ITALIA 3185,-34.887949933400755,-56.14615247463434,,1.0
MONTEVIDEO - HABILITADO_224,MONTEVIDEO,CENTRO,HABILITADO,224,LOS ROSALES,D,CAPITAN TULA,5150,,,,,CASAVALLE,2222 62 03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,CAPITAN TULA 5150,-34.90012438195732,-56.14665155733952,,1.0
MONTEVIDEO - HABILITADO_225,MONTEVIDEO,CENTRO,HABILITADO,225,DELMIRA AGUSTINI,D,BR. ARTIGAS,3062,,,,,BRAZO ORIENTAL,2481 17 25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,BR. ARTIGAS 3062,-34.870593208060505,-56.167370478044795,,1.0
MONTEVIDEO - HABILITADO_226,MONTEVIDEO,OESTE,HABILITADO,226,ROSA MÍSTICA,D,PEDRO DE VALDIVIA,5315,AVDA. GARZÓN,1499,,,COLÓN,2320 70 47,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,PEDRO DE VALDIVIA 5315,-34.81787630046634,-56.22081764277566,,1.0
MONTEVIDEO - HABILITADO_227,MONTEVIDEO,OESTE,HABILITADO,227,KALA- BETHUEL,,FRAY LUIS DE LEÓN,2458,,,,,MARACANÁ,2318 01 29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,FRAY LUIS DE LEÓN 2458,-34.848388961998346,-56.273592604571526,,1.0
MONTEVIDEO - HABILITADO_228,MONTEVIDEO,ESTE,HABILITADO,228,EDUVI,V,RUTA 8 KM 13200,6902,,,,,PUNTA DE RIELES,2513 48 13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,RUTA 8 KM 13200 6902,-34.8299179,-56.11754884797109,,3.0
